"","FP","YTG","EP_Go_For_It","EP_Alternative","Best_Decision","P_Success"
"666",87,7,-0.902308274244917,2.58626923374048,"Field Goal",0.480983931548739
"667",88,7,-0.386300113661133,2.66637958634319,"Field Goal",0.482555790886034
"668",89,7,-0.711895720047098,2.68577142559481,"Field Goal",0.484127995520459
"669",90,7,-0.515268313842248,2.71983262503131,"Field Goal",0.485700514397119
"670",91,7,-0.912249349032308,2.73855465901691,"Field Goal",0.487273316436246
"671",92,7,-0.666609564420193,2.76671680776125,"Field Goal",0.488846370535654
"672",93,7,-0.551396581231749,2.7867543217112,"Field Goal",0.490419645573192
"673",1,8,-0.881774244488862,5.39,"Punt",0.313609573244864
"674",2,8,-1.05491519338585,5.24,"Punt",0.314966388670994
"675",3,8,-1.37428695883828,4.85,"Punt",0.316326368982042
"676",4,8,-1.40397141102474,5.1,"Punt",0.317689498217493
"677",5,8,-0.745071540492624,4.93,"Punt",0.319055760217737
"678",6,8,-1.02198243999994,5.38,"Punt",0.320425138624345
"679",7,8,-1.17326871113008,4.93,"Punt",0.32179761688037
"680",8,8,-1.40327022384239,5.58,"Punt",0.323173178230676
"681",9,8,-1.38781162895157,4.83,"Punt",0.32455180572229
"682",10,8,-1.27533728513971,4.58,"Punt",0.325933482204773
"683",11,8,-0.488517199350008,4.71,"Punt",0.327318190330626
"684",12,8,-1.06942562502535,5.4,"Punt",0.32870591255571
"685",13,8,-0.842237083922473,5.38,"Punt",0.330096631139701
"686",14,8,-1.10957020902883,5.06,"Punt",0.331490328146557
"687",15,8,-1.18078199419686,4.79,"Punt",0.332886985445026
"688",16,8,-0.994592018216984,5.15,"Punt",0.334286584709162
"689",17,8,-1.00809130100441,4.49,"Punt",0.335689107418881
"690",18,8,-0.780634356036115,4.67,"Punt",0.337094534860531
"691",19,8,-0.936987629494785,4.69,"Punt",0.338502848127494
"692",20,8,-1.16860211763285,4.88,"Punt",0.33991402812081
"693",21,8,-1.2518116167227,5.06,"Punt",0.341328055549826
"694",22,8,-1.06960957387091,5.02,"Punt",0.342744910932875
"695",23,8,-1.09517793601701,4.75,"Punt",0.344164574597971
"696",24,8,-0.877658468107386,4.95,"Punt",0.34558702668354
"697",25,8,-1.03383002069027,4.73,"Punt",0.347012247139168
"698",26,8,-0.799476536124077,4.98,"Punt",0.34844021572638
"699",27,8,-1.10828829804597,5.16,"Punt",0.349870912019442
"700",28,8,-0.986417716475948,5.16,"Punt",0.351304315406187
"701",29,8,-1.6330757678593,5.05,"Punt",0.352740405088869
"702",30,8,-1.41841885636404,4.98,"Punt",0.354179160085042
"703",31,8,-1.37756373501567,5.16,"Punt",0.355620559228463
"704",32,8,-0.935027770508184,4.92,"Punt",0.357064581170023
"705",33,8,-1.41319665365799,4.91,"Punt",0.358511204378698
"706",34,8,-0.987555543860043,5.35,"Punt",0.359960407142534
"707",35,8,-0.866909549063564,4.72,"Punt",0.361412167569648
"708",36,8,-1.45310735192274,5.3,"Punt",0.362866463589261
"709",37,8,-1.3006371832764,4.93,"Punt",0.364323272952754
"710",38,8,-1.56482947121408,5.24,"Punt",0.365782573234747
"711",39,8,-1.10241965788155,4.67,"Punt",0.367244341834208
"712",40,8,-1.25397569692343,4.6,"Punt",0.368708555975584
"713",41,8,-1.05559887878634,5.21,"Punt",0.370175192709954
"714",42,8,-1.35734963324767,4.61,"Punt",0.371644228916216
"715",43,8,-1.23092902806362,4.44,"Punt",0.373115641302288
"716",44,8,-1.05029434689752,4.57,"Punt",0.374589406406343
"717",45,8,-1.42242036434235,4.04,"Punt",0.376065500598061
"718",46,8,-1.23996453425282,4.83,"Punt",0.377543900079913
"719",47,8,-0.914749431266209,4.21,"Punt",0.379024580888464
"720",48,8,-1.09473796897917,3.9,"Punt",0.380507518895703
"721",49,8,-0.94464440277041,4.17,"Punt",0.381992689810396
"722",50,8,-1.03903410889714,4.26,"Punt",0.383480069179465
"723",51,8,-1.47044183273798,3.56,"Punt",0.384969632389388
"724",52,8,-1.70885710676434,3.49,"Punt",0.386461354667627
"725",53,8,-0.865461911588011,4.29,"Punt",0.387955211084075
"726",54,8,-0.917901634502529,4.76,"Punt",0.389451176552533
"727",55,8,-1.26927595202681,4.14,"Punt",0.390949225832203
"728",56,8,-1.21920278481954,4.65,"Punt",0.392449333529211
"729",57,8,-1.36594886459213,4.62,"Punt",0.393951474098148
"730",58,8,-1.3860795208943,4.65,"Punt",0.395455621843639
"731",59,8,-1.3800786658729,4.14,"Punt",0.39696175092193
"732",60,8,-0.589327734166827,-0.312298412141678,"Field Goal",0.3984698353425
"733",61,8,-1.20218780760242,-0.511685168243619,"Field Goal",0.399979848969698
"734",62,8,-1.09400723938116,-0.276237965571434,"Field Goal",0.401491765524397
"735",63,8,-1.16549097327435,-0.0205874293294508,"Field Goal",0.403005558585675
"736",64,8,-1.08805392052076,0.0623207844728997,"Field Goal",0.404521201592514
"737",65,8,-1.51511574889517,0.14756206553393,"Field Goal",0.406038667845524
"738",66,8,-1.11378682557432,0.483503941537996,"Field Goal",0.407557930508685
"739",67,8,-0.740559077152727,0.833607935234868,"Field Goal",0.409078962611117
"740",68,8,-0.955842244966835,0.893194861287661,"Field Goal",0.41060173704886
"741",69,8,-1.10710317570433,0.950077311812096,"Field Goal",0.412126226586688
"742",70,8,-1.06925783160085,1.13396068175965,"Field Goal",0.413652403859931
"743",71,8,-1.05712736002769,1.29431951984062,"Field Goal",0.415180241376326
"744",72,8,-0.869597100192563,1.45981430261298,"Field Goal",0.416709711517889
"745",73,8,-0.885865353713387,1.6503880886687,"Field Goal",0.418240786542794
"746",74,8,-0.787095693067543,1.72201761062066,"Field Goal",0.419773438587293
"747",75,8,-1.03026510388438,1.78997387812508,"Field Goal",0.421307639667632
"748",76,8,-1.64447047082464,1.80859240956945,"Field Goal",0.422843361682005
"749",77,8,-1.50438848775196,1.89431728938924,"Field Goal",0.424380576412517
"750",78,8,-1.02820831514495,2.0899395930521,"Field Goal",0.425919255527167
"751",79,8,-0.697685166884049,2.18458333579911,"Field Goal",0.427459370581851
"752",80,8,-1.17651274865824,2.26746556079124,"Field Goal",0.429000893022384
"753",81,8,-1.25524391791427,2.29663268199727,"Field Goal",0.430543794186532
"754",82,8,-1.16231966816778,2.36268335216277,"Field Goal",0.432088045306075
"755",83,8,-0.651105242649304,2.47513422856343,"Field Goal",0.433633617508874
"756",84,8,-1.03661409970361,2.49935337591672,"Field Goal",0.435180481820962
"757",85,8,-0.903038065889261,2.52574876598096,"Field Goal",0.436728609168651
"758",86,8,-1.06475141500871,2.55350749334884,"Field Goal",0.438277970380651
"759",87,8,-0.673577467050069,2.63032389866626,"Field Goal",0.43982853619021
"760",88,8,-1.14730172981595,2.65036926817808,"Field Goal",0.441380277237267
"761",89,8,-0.849580237424648,2.68889807807646,"Field Goal",0.44293316407062
"762",90,8,-1.05626550046046,2.70959981158787,"Field Goal",0.444487167150111
"763",91,8,-1.01799433425131,2.73568863213646,"Field Goal",0.446042256848822
"764",92,8,-0.849802161351594,2.77533564491293,"Field Goal",0.447598403455288
"765",1,9,-1.57437388359237,5.15,"Punt",0.279074955499725
"766",2,9,-1.83581424022177,5.11,"Punt",0.280343383344648
"767",3,9,-1.58011670214473,4.51,"Punt",0.28161532429651
"768",4,9,-1.4959595537172,5,"Punt",0.282890767658021
"769",5,9,-1.61722176643668,4.9,"Punt",0.284169702533691
"770",6,9,-1.44378546071257,5.44,"Punt",0.285452117829525
"771",7,9,-1.50760181900447,5.29,"Punt",0.286738002252739
"772",8,9,-1.34830351035822,4.56,"Punt",0.28802734431149
"773",9,9,-1.70058481578401,4.96,"Punt",0.289320132314636
"774",10,9,-1.40060828254987,5.39,"Punt",0.290616354371507
"775",11,9,-1.43443265441035,5.34,"Punt",0.291915998391702
"776",12,9,-1.32862167436093,5.04,"Punt",0.293219052084908
"777",13,9,-1.41166827867906,5.09,"Punt",0.294525502960736
"778",14,9,-1.22706548887563,4.98,"Punt",0.295835338328581
"779",15,9,-1.29537794685221,4.91,"Punt",0.297148545297505
"780",16,9,-1.15587772058823,4.58,"Punt",0.298465110776135
"781",17,9,-1.38797350288161,4.74,"Punt",0.299785021472592
"782",18,9,-1.33709468327877,5.87,"Punt",0.301108263894434
"783",19,9,-1.49130743707079,4.81,"Punt",0.302434824348627
"784",20,9,-1.18953191530973,5.09,"Punt",0.303764688941537
"785",21,9,-1.71241755069271,4.93,"Punt",0.305097843578939
"786",22,9,-1.87678057074823,5.55,"Punt",0.306434273966057
"787",23,9,-1.67770211984913,5.26,"Punt",0.30777396560762
"788",24,9,-1.44867435861421,4.91,"Punt",0.30911690380795
"789",25,9,-1.39864535084917,4.37,"Punt",0.310463073671057
"790",26,9,-1.73938848848192,4.83,"Punt",0.311812460100777
"791",27,9,-1.64927379350123,5.35,"Punt",0.313165047800918
"792",28,9,-1.24769595150072,4.64,"Punt",0.314520821275437
"793",29,9,-1.89966584118308,5.01,"Punt",0.315879764828638
"794",30,9,-1.59165011756598,4.76,"Punt",0.317241862565394
"795",31,9,-1.56206830624689,5.02,"Punt",0.318607098391397
"796",32,9,-1.47302605011636,5.04,"Punt",0.319975456013425
"797",33,9,-1.42974427979304,4.62,"Punt",0.321346918939635
"798",34,9,-1.71314730693548,5.36,"Punt",0.322721470479889
"799",35,9,-1.57208338284869,4.41,"Punt",0.324099093746088
"800",36,9,-1.2538931546542,5.25,"Punt",0.325479771652547
"801",37,9,-1.60651274602346,4.67,"Punt",0.326863486916383
"802",38,9,-1.28032280162646,4.83,"Punt",0.328250222057933
"803",39,9,-1.73094117675688,4.55,"Punt",0.329639959401198
"804",40,9,-1.60787868049493,5.1,"Punt",0.331032681074303
"805",41,9,-1.55228343049116,4.48,"Punt",0.332428369009994
"806",42,9,-1.28521632207178,4.88,"Punt",0.333827004946153
"807",43,9,-1.35493058116028,4.92,"Punt",0.335228570426335
"808",44,9,-1.3457483514808,4.12,"Punt",0.336633046800342
"809",45,9,-1.82044312249241,5.06,"Punt",0.338040415224806
"810",46,9,-1.6080627091607,4.19,"Punt",0.33945065666381
"811",47,9,-1.60429934434162,4.54,"Punt",0.34086375188953
"812",48,9,-1.55028803798736,4.55,"Punt",0.3422796814829
"813",49,9,-1.5211005138077,4.79,"Punt",0.343698425834306
"814",50,9,-1.61021474437428,4.69,"Punt",0.345119965144303
"815",51,9,-1.32564467825428,4.27,"Punt",0.346544279424358
"816",52,9,-1.59778531291207,3.84,"Punt",0.347971348497617
"817",53,9,-1.50671596608259,4.29,"Punt",0.349401151999702
"818",54,9,-1.59271332636748,4.05,"Punt",0.35083366937953
"819",55,9,-1.24219521773757,3.77,"Punt",0.352268879900152
"820",56,9,-1.59393402542909,4.2,"Punt",0.353706762639631
"821",57,9,-1.41834331850203,4.31,"Punt",0.355147296491934
"822",58,9,-1.58921309530277,3.61,"Punt",0.356590460167851
"823",59,9,-1.15741441714292,4.06,"Punt",0.358036232195945
"824",60,9,-1.7359386284925,-0.90344515425195,"Field Goal",0.359484590923521
"825",61,9,-1.25644131287246,-0.449688204365422,"Field Goal",0.360935514517624
"826",62,9,-1.01932244386783,-0.134517748231194,"Field Goal",0.362388980966063
"827",63,9,-1.18615001091585,-0.0245001073467173,"Field Goal",0.363844968078455
"828",64,9,-1.31774118884799,0.0696466678033909,"Field Goal",0.365303453487302
"829",65,9,-1.42040863741964,0.301470587177783,"Field Goal",0.366764414649086
"830",66,9,-1.65912675750692,0.448464123002449,"Field Goal",0.368227828845394
"831",67,9,-1.43499765139915,0.759619135208736,"Field Goal",0.369693673184063
"832",68,9,-1.29758000915273,0.890451625429963,"Field Goal",0.371161924600358
"833",69,9,-1.90013747103109,0.802929396075836,"Field Goal",0.372632559858167
"834",70,9,-1.27945205559526,1.19483523919284,"Field Goal",0.374105555551226
"835",71,9,-1.38409817685969,1.23178509010026,"Field Goal",0.375580888104361
"836",72,9,-1.41335563589464,1.43008098799161,"Field Goal",0.37705853377477
"837",73,9,-1.4750168577626,1.55398723785932,"Field Goal",0.378538468653312
"838",74,9,-1.47562245616053,1.71035414683232,"Field Goal",0.380020668665829
"839",75,9,-1.06546931302099,1.80368953945616,"Field Goal",0.381505109574497
